Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Training_Time_Sec
Random Forest,0.9993832164381631,0.8846153846153846,0.7263157894736842,0.7976878612716763,0.936642080922063,26.64
Gradient Boosting,0.9991541254009093,0.8133333333333334,0.6421052631578947,0.7176470588235294,0.8444637480269312,474.14
Decision Tree,0.9946251718182779,0.2050561797752809,0.7684210526315789,0.3237250554323725,0.8829275090605544,13.21
Logistic Regression,0.97479998590209,0.05470313542361575,0.8631578947368421,0.1028858218318695,0.9616315594373305,7.02
